No. of Var.s,Intercept,"Q(""AssortmentA"")","Q(""AssortmentB"")","Q(""AssortmentC"")","Q(""ChristmasHoliday"")","Q(""DayOfWeek"")","Q(""EasterHoliday"")","Q(""NearbyCompetition"")","Q(""Promo"")","Q(""Promo2Precise"")","Q(""PublicHoliday"")","Q(""SchoolHoliday"")","Q(""Seasonal"")","Q(""SmoothSeasonal"")","Q(""StoreB"")","Q(""Trend"")",rSquared
1,1.2186771231915972e-16,,,,,,,,0.36821482424061536,,,,,,,,0.13558215679054775
2,1.2186771231915972e-16,,,,,,,,0.37068619054693586,,,,,,,0.1546169800711549,0.15948245966545105
3,1.2837292535407274e-16,,,0.12329774444077218,,,,,0.3708410487505752,,,,,,,0.1702283619334444,0.17444113150819052
4,1.2837292535407274e-16,,,0.12719161807535037,,,,,0.3712905246551295,-0.11458615865837693,,,,,,0.16549265612933092,0.18752858844794884
5,1.2837292535407274e-16,,,0.12744339932356222,,-0.08627392921109985,,,0.34531109213170325,-0.11454705516532925,,,,,,0.16833951753205928,0.19428652482888442
6,1.2837292535407274e-16,-0.12726343536998036,-0.12406171049386462,,,-0.08625783074118995,,,0.3451185165624762,-0.11169642324266006,,,,,,0.23863339553114757,0.1991590935866585
7,1.2837292535407274e-16,-0.12731458046242827,-0.12366796890042374,,,-0.08856919614693946,,,0.3394950350748015,-0.11228982699037687,,,,0.058860464011083274,,0.23814050654390723,0.2025940395992626
8,1.2837292535407274e-16,0.5017852138360888,,0.6283514893958316,,-0.08635369388760762,,,0.33978166068205934,-0.11219130495073196,,0.014442131624827988,,0.05825485923975661,,0.2381032078551119,0.20279769230195566
9,1.2837292535407274e-16,0.501561834457121,,0.62809988544819,,-0.08657929028690632,,,0.33991436321738117,-0.11217278243921862,,0.012913189908413161,-0.009818268219912041,0.06141177587764495,,0.2380024805502877,0.20288212448033704
10,1.2837292535407274e-16,0.4919276998878199,,0.6189710539478309,,-0.08656538776640806,,,0.33984678065287416,-0.11227959998199855,,0.01294085133511178,-0.00971639030257898,0.06119046789954717,-0.03502831452559221,0.2711277082787423,0.20292297423759376
11,1.2837292535407274e-16,0.49209540267991286,,0.6192481060632754,,-0.08655810799845808,,0.0023181356763321615,0.3398439368164604,-0.11256384094169015,,0.01293722471521106,-0.009711973185911844,0.06119034581944168,-0.03412693458415284,0.2700824731188424,0.20292819258473194
12,1.2837292535407274e-16,-0.12791200603151856,-0.12187453400610555,,,-0.08654464489599153,0.0014640472398411402,0.002326433504792134,0.33985247205674973,-0.11256123754351867,,0.012898032617388132,-0.009732476884804026,0.0611931028914816,-0.03421102371140109,0.2700700841013004,0.20293032436147163
13,1.2837292535407274e-16,0.49217878894966394,,0.619324695964906,,-0.0865446299669947,0.0014679048900897347,0.002332209152769348,0.33984750219206045,-0.11255992860193458,0.0006198205987386018,0.01289864531708514,-0.00973992569060322,0.061201565059061616,-0.03427238250602155,0.2700869705599266,0.20293070549748482
14,1.2837292535407274e-16,0.4921747512181116,,0.6193198343585209,0.0004212210706399668,-0.0865448899740651,0.0014700011873914442,0.0023328263009075277,0.33985101274765905,-0.11256010763158651,0.0006221460360649826,0.012890303257764853,-0.009740886255933176,0.06120018511654999,-0.03427039834441052,0.27005676350821267,0.2029308820904525
